file,t,wall_med,wall_mean,wall_p90,wall_p10,grd_med,grd_p90,sky_med,frame_med,sheet_med
HM20260820120312.jpeg,20260820120312,41.090256410256416,42.47848732943471,61.30769230769231,29.60307692307692,61.76717948717949,64.29435897435897,27.99487179487179,40.17128205128205,39.86
HM20260820120407.jpeg,20260820120407,35.99846153846154,38.87478099739453,49.433846153846154,31.84769230769231,34.25076923076923,39.93076923076923,32.284615384615385,34.90615384615384,37.88
HM20260820120932.jpeg,20260820120932,33.37435897435897,33.057633834157684,35.7148717948718,28.693333333333335,49.423589743589744,51.262564102564106,23.00923076923077,33.37435897435897,38.81
HM20260820120941.jpeg,20260820120941,33.31230769230769,33.52263708111635,35.15076923076923,31.596410256410255,49.368205128205126,51.08410256410256,31.596410256410255,34.537948717948716,37.86
HM20260820121414.jpeg,20260820121414,34.55897435897436,40.88791778364625,66.44512820512821,31.098461538461542,62.98461538461539,63.47897435897436,26.40205128205129,36.536410256410264,39.53
HM20260820121423.jpeg,20260820121423,36.739999999999995,37.60943747562311,45.32,33.0,56.32,57.64,21.560000000000002,36.08,38.39
HM20260820121916.jpeg,20260820121916,33.3,35.620885683774766,51.63333333333333,30.13333333333333,45.63333333333333,52.96666666666666,26.466666666666665,35.3,37.35
HM20260820121929.jpeg,20260820121929,38.46358974358974,39.664363143631434,43.423589743589744,36.301538461538456,32.61333333333333,35.53846153846153,,38.972307692307695,35.23
HM20260820122341.jpeg,20260820122341,36.79076923076923,38.31735073852502,49.126666666666665,30.985641025641026,48.98153846153846,50.2876923076923,27.212307692307693,37.22615384615385,41.07
HM20260820122359.jpeg,20260820122359,33.950769230769225,33.59691477618426,37.64,27.578461538461536,29.255384615384614,34.78923076923077,23.218461538461536,32.44153846153846,38.21
HM20260820122747.jpeg,20260820122747,32.72461538461539,32.85975825769926,35.73753846153846,28.205230769230774,27.141846153846156,29.445846153846155,25.10369230769231,30.509230769230772,32.49
HM20260820122838.jpeg,20260820122838,31.529230769230765,31.853111222185827,38.669230769230765,26.58615384615384,34.824615384615385,41.598461538461535,18.3476923076923,32.26153846153846,32.4
HM20260820122929.jpeg,20260820122929,30.716923076923077,31.90100229486083,37.06769230769231,29.129230769230773,33.892307692307696,35.480000000000004,21.786153846153844,31.510769230769235,29.97
HM20260820123340.jpeg,20260820123340,40.43692307692307,41.19886488552861,51.15384615384615,30.77846153846154,45.99384615384615,51.418461538461536,30.38153846153846,40.70153846153846,42.11
HM20260820123357.jpeg,20260820123357,38.753846153846155,40.78220313543771,54.992820512820515,32.121025641025646,60.48205128205129,63.91282051282052,25.71692307692308,39.8974358974359,39.33
HM20260820123606.jpeg,20260820123606,38.515897435897436,42.65402115228322,59.84307692307692,32.46358974358974,48.02666666666667,69.9302564102564,27.564102564102562,42.838974358974355,39.63
HM20260820123611.jpeg,20260820123611,56.55846153846154,60.10632436048353,97.14461538461538,39.9748717948718,56.55846153846154,74.8876923076923,27.755384615384628,56.55846153846154,39.22
HM20260820123948.jpeg,20260820123948,37.46923076923077,38.67805980262544,57.426153846153845,26.40615384615385,57.426153846153845,57.643076923076926,26.40615384615385,38.33692307692308,41.38
HM20260820123959.jpeg,20260820123959,35.28769230769231,37.45456906294154,46.72461538461538,30.930769230769226,52.17076923076923,58.34307692307692,31.475384615384613,38.19230769230769,44.26
HM20260820124012.jpeg,20260820124012,34.88307692307692,39.0554933847823,58.49948717948718,28.978974358974362,58.49948717948718,61.553333333333335,28.775384615384617,35.49384615384616,41.72
HM20260820124308.jpeg,20260820124308,37.669230769230765,37.748814455725835,44.45076923076923,28.78307692307692,54.03846153846154,63.86000000000001,25.50923076923077,38.37076923076923,40.71
HM20260820124315.jpeg,20260820124315,36.04102564102564,36.25841219793027,48.87384615384615,24.61179487179487,53.48564102564103,54.68871794871795,24.41128205128205,35.64,38.2
HM20260820130001.jpeg,20260820130001,32.90461538461538,33.397210637031755,43.07076923076923,25.82461538461538,37.44307692307692,48.51692307692308,21.286153846153844,32.72307692307692,35.73
