사진,파일,SVF,TVF,BVF,OTH,GVI_pix
236,IMG_20260826_130452_00_236.jpg,0.591,0.0009,0.341,0.0671,0.0013
237,IMG_20260826_130805_00_237.jpg,0.5019,0.0021,0.4418,0.0543,0.0009
238,IMG_20260826_131141_00_238.jpg,0.4749,0.0003,0.5169,0.0079,0.0061
239,IMG_20260826_140917_00_239.jpg,0.7508,0.0137,0.2261,0.0094,0.014
240,IMG_20260826_141213_00_240.jpg,0.852,0.0113,0.1126,0.0241,0.0099
241,IMG_20260826_141228_00_241.jpg,0.8339,0.0098,0.1267,0.0297,0.0074
242,IMG_20260826_141605_00_242.jpg,0.7615,0.0043,0.1239,0.1103,0.0293
243,IMG_20260826_141908_00_243.jpg,0.5921,0.0026,0.3635,0.0418,0.0
244,IMG_20260826_142126_00_244.jpg,0.6082,0.0013,0.378,0.0124,0.0194
245,IMG_20260826_142350_00_245.jpg,0.5115,0.0005,0.4633,0.0248,0.0002
246,IMG_20260826_142559_00_246.jpg,0.6988,0.0232,0.2216,0.0563,0.0152
248,IMG_20260826_143110_00_248.jpg,0.6179,0.0544,0.2586,0.0692,0.0209
249,IMG_20260826_143123_00_249.jpg,0.5714,0.0517,0.3254,0.0515,0.0201
250,IMG_20260826_143824_00_250.jpg,0.2558,0.0997,0.616,0.0286,0.0775
251,IMG_20260826_144521_00_251.jpg,0.4742,0.0,0.4761,0.0497,0.0
252,IMG_20260826_144839_00_252.jpg,0.6802,0.0013,0.3088,0.0097,0.0
253,IMG_20260826_145403_00_253.jpg,0.5472,0.0095,0.3771,0.0663,0.0062
254,IMG_20260826_145542_00_254.jpg,0.8104,0.0236,0.1123,0.0537,0.0259
255,IMG_20260826_145854_00_255.jpg,0.5393,0.0106,0.3669,0.0831,0.0338
256,IMG_20260826_150139_00_256.jpg,0.6623,0.0871,0.2461,0.0044,0.0527
258,IMG_20260826_150520_00_258.jpg,0.3499,0.0,0.6108,0.0393,0.0
