측정ID,LCZ,동,지점명,시각,위도,경도,볕그늘,폭등급,가로폭_m,노면온도_열화상,포장재질,비고
20260820_서제2동_14,LCZ 3,서제2동,서제2동,2026-08-20 13:30:00,35.21562,129.0986,그늘,보행골목(<6m),4.8,35.3,,
20260820_서제2동_15,LCZ 3,서제2동,서제2동,2026-08-20 13:33:00,35.21545,129.09849,그늘,혼합골목(6-12m),7.3,47.95,,
20260820_서제2동_16,LCZ 3,서제2동,서제2동,2026-08-20 13:36:00,35.21559,129.09735,그늘,보행골목(<6m),4.6,50.99,,
20260820_서제2동_17,LCZ 3,서제2동,서제2동,2026-08-20 13:39:00,35.21582,129.09658,그늘,혼합골목(6-12m),7.2,52.98,,
20260820_서제2동_18,LCZ 3,서제2동,서제2동,2026-08-20 13:42:00,35.21608,129.0957,볕,큰길(12m+),16.3,57.95,,
20260825_용호제1동_01,LCZ 4,용호제1동,용호제1동,2026-08-25 12:56:00,35.1247,129.1107,볕,혼합골목(6-12m),11.0,57.81,,
20260825_용호제1동_02,LCZ 4,용호제1동,용호제1동,2026-08-25 12:51:00,35.1242,129.11,볕,큰길(12m+),18.3,57.04,,
20260825_용호제1동_03,LCZ 4,용호제1동,용호제1동,2026-08-25 12:46:00,35.1232,129.109,볕,혼합골목(6-12m),11.4,57.78,,
20260825_용호제1동_04,LCZ 4,용호제1동,용호제1동,2026-08-25 12:43:00,35.1239,129.1091,볕,혼합골목(6-12m),6.5,51.55,,
20260825_용호제1동_05,LCZ 4,용호제1동,용호제1동,2026-08-25 12:41:00,35.1243,129.1092,볕,큰길(12m+),14.7,56.72,,
20260825_용호제1동_06,LCZ 4,용호제1동,용호제1동,2026-08-25 12:36:00,35.1233,129.1098,볕,큰길(12m+),12.5,54.35,,
20260825_용호제1동_07,LCZ 4,용호제1동,용호제1동,2026-08-25 12:34:00,35.1229,129.1097,볕,큰길(12m+),29.1,51.18,,
20260825_용호제1동_08,LCZ 4,용호제1동,용호제1동,2026-08-25 12:30:00,35.1229,129.1101,볕,혼합골목(6-12m),8.2,52.67,,
20260825_용호제1동_09,LCZ 4,용호제1동,용호제1동,2026-08-25 12:27:00,35.1229,129.1103,볕,큰길(12m+),15.2,54.99,,
20260825_용호제1동_10,LCZ 4,용호제1동,용호제1동,2026-08-25 12:24:00,35.1228,129.1107,볕,혼합골목(6-12m),7.6,49.21,,
20260825_용호제1동_11,LCZ 4,용호제1동,용호제1동,2026-08-25 12:18:00,35.1229,129.1114,볕,혼합골목(6-12m),8.1,49.6,,
20260825_용호제1동_12,LCZ 4,용호제1동,용호제1동,2026-08-25 12:16:00,35.1228,129.1117,볕,혼합골목(6-12m),6.9,49.34,,
20260825_용호제1동_13,LCZ 4,용호제1동,용호제1동,2026-08-25 12:12:00,35.1228,129.1122,볕,혼합골목(6-12m),6.5,52.75,,
20260825_용호제1동_14,LCZ 4,용호제1동,용호제1동,2026-08-25 12:09:00,35.123,129.1116,볕,큰길(12m+),17.6,54.88,,
20260825_용호제1동_15,LCZ 4,용호제1동,용호제1동,2026-08-25 12:06:00,35.1236,129.1112,볕,큰길(12m+),12.5,55.9,,
20260823_명장제10동_01,LCZ 5,명장동,명장제10동,2026-08-23 11:53:00,35.2158,129.0861,볕,혼합골목(6-12m),7.8,51.25,,
20260823_명장제11동_01,LCZ 5,명장동,명장제11동,2026-08-23 11:50:00,35.2156,129.0868,볕,큰길(12m+),23.5,53.02,,
