# 부산대학교 건물 대장 (2026-09-16, 대학 제공). 열: 코드 이름 구내외 구조 지하 지상 준공 건축면적 연면적
# 엔진 높이 = 지상층수 x 3.018 + 0.902 (geo._height_m_from_props 와 같은 식)
# 건축면적(m2)은 폴리곤 면적과 맞춰 OSM 건물에 붙이는 열쇠로 쓴다.
713	웅비관 B동	구내	RC	3	11	2009	2346	14582
714	진리관 관리동	구내	SRC	0	2	2001	1150	1613
714-1	진리관 안내실	구내	SRC	0	1	2001	52	52
715	진리관 가동	구내	SRC	1	9	2001	471	3788
716	진리관 나동	구내	SRC	1	9	2001	471	3788
717	진리관 다동	구내	SRC	1	9	2001	471	3788
K01	관리인관사	구내	RC	0	2	1979	109	218
K05	변전실	구내	RC	0	2	1980	242	435
K06	정문수위실	구내	RC	0	1	1976	36	36
K07	(구)정문수위실	구내	RC	0	1	1979	36	36
K08	기맥정	구내	RC	1	2	1987	128	224
K09	함덕실	구내	RC	0	2	1978	84	168
K14	제3배수지	구내	SRC	0	2	1998	150	300
K15	암석자기학실험실	구내	경량ST	0	1	2005	37	37
Z06	종합상황실	구내	RC	0	1	1957	50	48
K18	테니스장 관리동	구내	RC	0	1	2015	130	130
Z04	자연대야외화장실	구내	RC	0	1	2005	39	39
기타1	총장공관	구외	RC	1	2	1987	301	558
기타2	총장공관경비실	구외	벽돌조	0	1	1991	30	30
기타4	약초원관리사옥	구외	벽돌조	0	1	1979	49	49
Z05	총장공관 차고	구외	ST	0	1	2008	52	52
W01	제7공학관1위험물저장소	구내	RC	0	1	2019	36	36
W02	제7공학관2위험물저장소	구내	RC	0	1	2019	41	41
W03	화학관위험물 저장소	구내	RC	0	1	2019	44	44
A01	PNU에이벡	구외	RC	1	5	2019	301	1107
A02	철골주차장	구내	RC	0	5	2019	1581	5550
A03	옥외저장소-4	구내	RC	0	1	2020	39	39
부고1	부설고등학교 교실	구외	RC	1	5	1990	1839	8012
부고2	부설고등학교 식당동	구외	ST	0	4	2011	351	1405
부고3	부설고등학교 창고	구외	RC	0	1	2000	58	58
부고4	부설고등학교 펌프실	구외	RC	0	1	2000	15	15
부고5	부설고등학교 수위실	구외	RC	0	1	2006	15	15
부고6	부설고등학교 다목적실	구외	RC	0	2	2003	1327	1884
부고7	부설고등학교 특별교실	구외	RC	0	4	2006	354	1373
