동,지번,단지,세대,btli_env_w_m2,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512,202601,202602,202603,202604,202605
다대동,0094-0000,삼환2차아파트,268,4.18,98302,98807,88650,90142,83194,84597,97072,142895,140839,90062,88011,90729,98759,100527,88878,91385,85682,87231,103371,131437,125324,89874,87109,88777,96351,97058,86024,89859,331452
연산동,0243-0018,연산엘지아파트,2302,3.96,881643,877525,787343,802921,750239,813420,952553,1375617,1144102,769947,801883,830029,890740,902003,767429,804703,756557,815047,1065483,1306253,1100533,807399,817643,836829,906706,902856,768535,805252,61697214
좌동,1282-0000,해운대 센트럴파크아파트,799,4.06,218070,222434,206705,211197,198436,201319,211877,289682,305418,249262,204186,199699,216744,224881,198602,210385,197512,201840,215853,276455,296541,230574,207496,204040,221023,223902,197484,210725,3155056
명장동,0063-0009,삼성타운,471,3.46,269598,266419,240141,239961,225618,245425,282615,374076,352005,248717,235361,239908,253832,245586,208069,209376,199594,220370,300889,367262,366017,264973,240146,211162,225710,226783,235101,244594,907940
용호동,0181-0001,현대비치아파트,648,2.14,204871,193597,194301,181101,179511,186816,247349,304601,247483,183982,181023,199780,209334,189204,197137,183000,183416,188680,258279,293212,223568,189830,185027,200724,208352,190168,195587,181725,2946592
화명동,0295-0000,도시화명그린아파트,720,2.09,169400,167285,150273,151282,142073,154842,184864,245755,208919,142282,148757,154906,164469,166682,141265,148148,141092,153037,200653,232728,198556,149405,152757,158534,170117,168157,145017,150941,1281573
사직동,0632-0094,유원아파트,236,3.82,87214,87499,82127,82749,74735,74697,75560,101855,120096,96181,76259,76210,85590,88548,78976,82352,75109,73551,75233,103987,113815,81790,75323,74037,82622,86749,77294,80617,649134
대연동,0242-0001,대우그린2차아파트,239,2.78,72089,73636,68414,69857,65192,64973,73323,104711,101247,83096,66901,67217,74606,75052,66253,68595,62971,64852,77975,98644,103894,71481,66121,66205,71553,73868,66245,69128,1594750
다대동,0094-0002,국제그린아파트,996,3.03,221965,221181,198952,201787,188027,201169,238161,343620,307566,195906,198546,214589,224129,228324,193141,202845,191021,203159,254030,315287,267787,198881,198436,205333,222937,222732,190953,202070,762324
연산동,0304-0001,경동아파트,318,2.4,99113,100516,88300,88142,81354,84651,96254,146487,133308,87458,84912,87890,96629,99693,87584,89879,85416,88079,111091,138905,132556,90700,89536,93415,101532,104156,88154,92477,6864750
좌동,1302-0000,동신아파트,676,1.76,239960,241682,226466,234035,224492,228380,238013,309399,355833,278017,227554,221872,234837,239082,213591,230600,218697,224038,231534,309829,346975,254672,234617,227813,241077,241807,221353,236894,3604240
명장동,0290-0002,명장삼보맨션,348,4.77,45065,45060,41380,41772,38018,37309,41165,58303,60707,47935,37955,38595,43771,44132,39176,40423,36748,36851,42676,57476,61699,42278,38141,38750,43000,44026,38575,39608,146884
용호동,0197-0000,GS하이츠자이,1149,3.99,889231,855210,800055,821485,821635,938610,1145915,1526223,1301083,874162,824694,825125,874684,861292,770232,804775,800555,890856,1159673,1387689,1192891,869419,808926,821640,882060,845917,771891,815619,13041072
화명동,0310-0000,코오롱아파트,450,2.18,169156,168647,149831,152318,143077,153897,185573,251333,209535,146817,155694,164452,175002,174918,147490,154174,146954,157387,202475,239083,194301,152773,158691,162323,173960,173246,148296,154576,1312830
사직동,0981-0100,삼정그린코아,874,4.11,338127,340127,305621,311325,290979,298391,336705,461859,421863,320995,170299,300996,337513,348655,309070,317611,291111,298509,315536,422002,460289,336737,303928,308714,338636,350941,307743,322910,2635947
대연동,0243-0023,대연청구아파트,604,4.4,233296,233902,208321,215509,202780,216803,257652,349916,297525,207043,212145,216662,232583,235966,202851,215366,205433,219729,269214,322872,278349,213954,214800,218378,235176,235859,207249,218824,5169175
다대동,0094-0005,다송아파트,500,4.93,99494,97046,87923,87456,80987,85850,98984,137999,127321,82786,84767,90070,98546,100035,85192,87818,82796,86311,105562,129878,114861,86950,88380,92002,100836,98196,82634,85663,320904
