lat,lon,n_records,svf,n_buildings,street_width_m,hw_ratio,snapped_m,폭등급
35.183,129.1031,8,0.21,23,48.0,1.43,0.0,큰길(12m+)
35.1823,129.1032,32,0.512,41,45.6,0.92,0.0,큰길(12m+)
35.1819,129.1033,2,0.552,65,11.1,0.5,0.0,혼합골목(6-12m)
35.1822,129.1026,3,0.766,60,24.2,0.17,0.0,큰길(12m+)
35.1827,129.1036,9,0.245,26,18.8,3.71,0.0,큰길(12m+)
35.1829,129.1032,35,0.233,22,54.3,1.29,0.0,큰길(12m+)
35.1826,129.1032,68,0.296,33,22.9,2.94,3.2,큰길(12m+)
35.1832,129.1034,7,0.205,18,31.9,2.2,2.3,큰길(12m+)
35.1834,129.1034,9,0.274,21,17.0,4.12,0.0,큰길(12m+)
35.183,129.103,3,0.207,23,33.3,2.06,0.0,큰길(12m+)
35.1832,129.1031,4,0.218,21,22.3,3.07,2.8,큰길(12m+)
35.1823,129.1033,29,0.552,39,43.7,0.83,0.0,큰길(12m+)
35.1826,129.1036,8,0.283,28,27.7,2.33,0.0,큰길(12m+)
35.1837,129.1032,5,0.214,22,42.6,1.64,0.0,큰길(12m+)
35.1821,129.1031,8,0.551,52,20.1,0.49,3.0,큰길(12m+)
35.1822,129.1032,19,0.363,44,29.8,1.31,0.0,큰길(12m+)
35.182,129.1032,33,0.783,61,19.9,0.49,0.0,큰길(12m+)
35.1818,129.1031,5,0.435,68,8.1,0.69,0.0,혼합골목(6-12m)
35.1825,129.103,5,0.284,40,11.2,5.99,0.0,혼합골목(6-12m)
35.1827,129.1034,26,0.173,28,29.7,2.36,0.0,큰길(12m+)
35.1833,129.1034,2,0.252,22,13.8,5.08,1.1,큰길(12m+)
35.1825,129.1034,11,0.371,33,23.0,2.8,0.0,큰길(12m+)
35.1819,129.1032,3,0.515,68,18.8,0.3,1.2,큰길(12m+)
35.183,129.1032,7,0.233,23,54.3,1.29,0.0,큰길(12m+)
35.1828,129.1036,7,0.24,23,28.2,2.49,0.0,큰길(12m+)
35.1825,129.1026,1,0.597,50,41.7,1.11,0.0,큰길(12m+)
35.1844,129.1024,2,0.745,28,58.2,0.1,0.0,큰길(12m+)
35.1837,129.1031,1,0.231,21,54.5,1.28,0.0,큰길(12m+)
35.1831,129.103,2,0.248,21,19.7,3.47,0.0,큰길(12m+)
35.1823,129.1026,4,0.714,57,33.6,1.04,0.0,큰길(12m+)
35.1824,129.1034,40,0.479,35,43.9,0.83,0.0,큰길(12m+)
35.1828,129.1032,28,0.227,27,47.5,1.45,0.0,큰길(12m+)
35.1827,129.1032,48,0.164,29,15.0,4.67,0.0,큰길(12m+)
35.1822,129.1031,11,0.407,49,19.4,2.02,0.0,큰길(12m+)
35.1823,129.1035,7,0.589,43,24.5,1.31,0.0,큰길(12m+)
35.1829,129.1034,7,0.252,20,54.6,1.28,0.0,큰길(12m+)
35.182,129.1028,3,0.822,64,13.8,0.3,0.0,큰길(12m+)
35.1822,129.103,4,0.51,46,11.3,3.1,0.0,혼합골목(6-12m)
35.182,129.103,7,0.802,60,17.2,0.33,0.0,큰길(12m+)
35.1822,129.1028,1,0.749,58,19.9,1.68,0.0,큰길(12m+)
35.1821,129.1033,2,0.387,51,1.6,6.1,0.0,보행골목(<6m)
35.182,129.1034,7,0.597,58,13.5,0.41,0.0,큰길(12m+)
35.1822,129.1033,8,0.426,46,32.3,1.13,0.0,큰길(12m+)
35.1826,129.1031,21,0.269,36,12.3,5.44,3.2,큰길(12m+)
