측정ID,권역,지점명,위도,경도,시각,볕
20260823_명장제7동_01,명장동,명장제7동,35.2157,129.0844,2026-08-23 03:04:00,1
20260823_명장제8동_01,명장동,명장제8동,35.2161,129.0857,2026-08-23 03:00:00,1
20260823_명장제9동_01,명장동,명장제9동,35.2162,129.0861,2026-08-23 02:56:00,1
20260823_명장제10동_01,명장동,명장제10동,35.2158,129.0861,2026-08-23 02:53:00,1
20260823_명장제11동_01,명장동,명장제11동,35.2156,129.0868,2026-08-23 02:50:00,1
20260823_명장제12동_01,명장동,명장제12동,35.2152,129.0874,2026-08-23 02:47:00,1
20260823_명장제13동_01,명장동,명장제13동,35.2149,129.0882,2026-08-23 02:43:00,1
20260823_명장제14동_01,명장동,명장제14동,35.2145,129.0899,2026-08-23 02:40:00,1
20260823_명장제15동_01,명장동,명장제15동,35.2139,129.0899,2026-08-23 02:34:00,1
20260823_명장제16동_01,명장동,명장제16동,35.2136,129.0905,2026-08-23 02:29:00,0
20260823_명장제17동_01,명장동,명장제17동,35.2125,129.0902,2026-08-23 02:22:00,0
20260823_명장제18동_01,명장동,명장제18동,35.2123,129.0897,2026-08-23 02:19:00,1
